	index	billing_country	coupon	order_item	paid_date	course_category	order_id	salesperson	price
25	25	CL		English Advanced Level 4 (ESLA4)	2021-05-30 16:16:31+00:00	esl	4809646	Marciana Alonso Cirilo	10.0
26	26	CL		English Advanced Level 4 (ESLA4)	2021-05-30 16:57:42+00:00	esl	4809895	Marciana Alonso Cirilo	10.0
27	27	EC	ecudjfree	English Basic Level 7 (ESLB7)	2021-05-30 17:31:36+00:00	esl	4809937	José María Yasmina María Belén	0.0
28	28	PA		English Intermediate Level 8 (ESLI8)	2021-05-30 20:35:48+00:00	esl	4810022	Romualdo Corina Irma	10.0
29	29	EC		English Basic Level 5 (ESLB5)	2021-05-30 22:19:46+00:00	esl	4810147	José María Yasmina María Belén	10.0
30	30	EC		English Basic Level 4 (ESLB4)	2021-05-30 22:31:18+00:00	esl	4810243	Romualdo Corina Irma	10.0
31	31	EC	ecudjfree	English Basic Level 6 (ESLB6)	2021-05-30 23:06:57+00:00	esl	4810323	José María Yasmina María Belén	0.0
32	32	CL		Specials	2021-05-31 00:07:18+00:00	none	4810416	José María Yasmina María Belén	20.0
33	33	CL		Specials	2021-05-31 00:07:18+00:00	none	4810416	José María Yasmina María Belén	20.0
34	34	BO		English Intermediate Level 6 (ESLI6)	2021-05-31 00:51:30+00:00	esl	4810548	Romualdo Corina Irma	10.0
35	35	BO		English Intermediate Level 6 (ESLI6)	2021-05-31 01:13:06+00:00	esl	4810620	Romualdo Corina Irma	10.0
36	36	PE		English for Kids - June (EFK),English Basic Level 6 (ESLB6)	2021-05-31 01:31:41+00:00	efk	4810738	Ovidia Arsenio Maxi	10.0
37	37	PE		English for Kids - June (EFK),English Basic Level 6 (ESLB6)	2021-05-31 01:31:41+00:00	esl	4810738	Ovidia Arsenio Maxi	10.0
38	38	PE		English Intermediate Level 6 (ESLI6)	2021-05-31 03:28:31+00:00	esl	4810879	Marciana Alonso Cirilo	10.0
39	39	CL		Specials	2021-05-31 17:30:54+00:00	none	4812811	Consuela Yésica Balbina	20.0
40	40	PE		English Basic Level 4 (ESLB4)	2021-05-31 19:59:36+00:00	esl	4812908	Ovidia Arsenio Maxi	10.0
41	41	PA		English Advanced Level 2 (ESLA2)	2021-05-31 20:39:26+00:00	esl	4813181	Romualdo Corina Irma	10.0
42	42	PE		English Basic Level 6 (ESLB6)	2021-05-31 20:40:49+00:00	esl	4813291	Romualdo Corina Irma	10.0
43	43	MX		English Intermediate Level 2 (ESLI2)	2021-05-31 20:47:53+00:00	esl	4813395	Osvaldo Lucrecia Priscila	10.0
44	44	PE		English Advanced Level 2 (ESLA2)	2021-05-31 21:31:59+00:00	esl	4813421	Ovidia Arsenio Maxi	10.0
45	45	US	ecudjdifer	English Basic Level 2 (ESLB2)	2021-05-31 21:40:00+00:00	esl	4813532	Ovidia Arsenio Maxi	0.0
46	46	PA	panjffree	English Basic Level 7 (ESLB7)	2021-05-31 21:57:46+00:00	esl	4813697	Ovidia Arsenio Maxi	0.0
47	47	PA		English Basic Level 6 (ESLB6)	2021-05-31 22:36:00+00:00	esl	4813793	Romualdo Corina Irma	10.0
48	48	PE		Bulk Payment of English Classes (3 to 6 months in advance)<span> - </span>Pay for 3 months (5% discount)	2021-05-31 23:04:18+00:00	bulk	4813829	Ovidia Arsenio Maxi	30.0
49	49	EC		IELTS Exam Preparation (IELTS)	2021-05-31 23:42:27+00:00	ielts	4813925	Ovidia Arsenio Maxi	10.0
50	50	MX		English for Kids - June (EFK)	2021-05-31 23:57:14+00:00	efk	4814008	Osvaldo Lucrecia Priscila	10.0
51	51	CL		English Basic Level 8 (ESLB8)	2021-06-01 00:14:06+00:00	esl	4814148	Romualdo Corina Irma	10.0
52	52	CL		English Basic Level 8 (ESLB8)	2021-06-01 00:14:06+00:00	esl	4814148	Romualdo Corina Irma	10.0
53	53	MX		English Basic Level 4 (ESLB4)	2021-06-01 00:23:38+00:00	esl	4814223	Ovidia Arsenio Maxi	10.0
54	54	EC	ecudjfree	English Advanced Level 2 (ESLA2)	2021-06-01 00:24:16+00:00	esl	4814313	José María Yasmina María Belén	0.0
55	55	EC		English Basic Level 3 (ESLB3)	2021-06-01 01:14:22+00:00	esl	4814465	José María Yasmina María Belén	10.0
56	56	PE		English Basic Level 6 (ESLB6)	2021-06-01 01:58:18+00:00	esl	4814542	Ovidia Arsenio Maxi	10.0
57	57	EC		English Basic Level 3 (ESLB3)	2021-06-01 02:16:05+00:00	esl	4814664	Ovidia Arsenio Maxi	10.0
58	58	MX		Speaking Intermediate Level 3 (SPKI3)	2021-06-01 02:47:12+00:00	none	4814728	Ovidia Arsenio Maxi	10.0
59	59	CL		English Basic Level 4 (ESLB4)	2021-06-01 02:49:42+00:00	esl	4814875	José María Yasmina María Belén	10.0
60	60	PE		Bulk Payment of English Classes (3 to 6 months in advance)<span> - </span>Pay for 1 month	2021-06-01 04:06:24+00:00	bulk	4814939	Ovidia Arsenio Maxi	10.0
61	61	PE		English for Kids - June (EFK)	2021-06-01 14:53:11+00:00	efk	4815026	Romualdo Corina Irma	10.0
62	62	BO		English Basic Level 1 (ESLB1)	2021-06-01 16:47:40+00:00	esl	4815216	Romualdo Corina Irma	10.0
63	63	PE		Specials	2021-06-01 18:16:48+00:00	none	4815311	Romualdo Corina Irma	20.0
64	64	PE		Specials	2021-06-01 18:16:48+00:00	none	4815311	Romualdo Corina Irma	20.0
65	65	PE		Specials	2021-06-01 18:16:48+00:00	none	4815311	Romualdo Corina Irma	20.0
66	66	PE		English Intermediate Level 8 (ESLI8)	2021-06-01 20:12:25+00:00	esl	4815418	Oriana Nelson Brunilda	10.0
67	67	MX		English Basic Level 3 (ESLB3)	2021-06-01 21:58:16+00:00	esl	4818404	Osvaldo Lucrecia Priscila	10.0
68	68	PA	panjffree	English Basic Level 7 (ESLB7)	2021-06-01 22:42:36+00:00	esl	4818544	Romualdo Corina Irma	0.0
69	69	BO		English for Kids - June (EFK)	2021-06-02 01:26:25+00:00	efk	4818680	José María Yasmina María Belén	10.0
70	70	CL		Specials	2021-06-02 02:31:58+00:00	none	4818760	Ovidia Arsenio Maxi	20.0
71	71	BO		English Intermediate Level 3 (ESLI3)	2021-06-02 03:21:05+00:00	esl	4818889	Romualdo Corina Irma	10.0
72	72	CO	colfmdifer	English Basic Level 0 (ESLB0)	2021-06-02 13:59:11+00:00	esl	4820362	Candela Miguel Tecla	0.0
73	73	PE		Speaking Advanced Level 2 (SPKA2)	2021-06-02 14:03:34+00:00	none	4820477	Romualdo Corina Irma	10.0
74	74	CA		English Intermediate Level 3 (ESLI3)	2021-06-02 14:09:12+00:00	esl	4820531	José María Yasmina María Belén	10.0
75	75	MX	mexmmfree	English Intermediate Level 4  (ESLI4)	2021-06-02 15:17:52+00:00	esl	4821015	Ovidia Arsenio Maxi	0.0
76	76	CL		English Basic Level 3 (ESLB3)	2021-06-02 20:33:17+00:00	esl	4824613	Marciana Alonso Cirilo	10.0
77	77	PE		English For Academic Purposes - Level 5 (EAP5)	2021-06-02 20:43:28+00:00	eap	4824757	Romualdo Corina Irma	10.0
78	78	PE		English Basic Level 5 (ESLB5)	2021-06-02 20:51:56+00:00	esl	4825436	Romualdo Corina Irma	10.0
79	79	PE		English Basic Level 5 (ESLB5)	2021-06-02 21:50:18+00:00	esl	4829329	Ovidia Arsenio Maxi	10.0
80	80	MX		Speaking Advanced Level 1 (SPKA1)	2021-06-03 00:28:01+00:00	none	4830425	Osvaldo Lucrecia Priscila	10.0
81	81	PE		English Advanced Level 1 (ESLA1)	2021-06-03 00:49:56+00:00	esl	4830586	Romualdo Corina Irma	10.0
82	82	CL		English Intermediate Level 6 (ESLI6)	2021-06-03 01:12:21+00:00	esl	4830625	Ovidia Arsenio Maxi	10.0
83	83	MX		English Advanced Level 2 (ESLA2)	2021-06-03 01:33:26+00:00	esl	4830865	Osvaldo Lucrecia Priscila	10.0
84	84	PE		English For Academic Purposes - Level 5 (EAP5)	2021-06-03 01:58:07+00:00	eap	4830902	Romualdo Corina Irma	10.0
85	85	CL		English Intermediate Level 7 (ESLI7)	2021-06-03 02:18:06+00:00	esl	4831126	José María Yasmina María Belén	10.0
86	86	PE		Conversation - Intermediate level - June (CONV-I)	2021-06-03 02:30:01+00:00	con	4831255	Fabián Pepe Laurentino	10.0
87	87	PE		Conversation - Intermediate level - June (CONV-I)	2021-06-03 02:30:01+00:00	con	4831255	Fabián Pepe Laurentino	10.0
88	88	MX	mexmmfree	English Intermediate Level 3 (ESLI3)	2021-06-03 02:44:02+00:00	esl	4831654	Osvaldo Lucrecia Priscila	0.0
89	89	PE		Specials	2021-06-03 04:10:37+00:00	none	4833760	Romualdo Corina Irma	20.0
90	90	PE		English Basic Level 4 (ESLB4)	2021-06-03 15:18:39+00:00	esl	4834031	Romualdo Corina Irma	10.0
91	91	CA		Specials	2021-06-03 15:37:52+00:00	none	4834102	Romualdo Corina Irma	20.0
92	92	CL		English Intermediate Level 7 (ESLI7)	2021-06-03 15:51:28+00:00	esl	4834561	Consuela Yésica Balbina	10.0
93	93	MX	mexmmfree	English Intermediate Level 4  (ESLI4)	2021-06-03 16:19:07+00:00	esl	4834683	Fabián Pepe Laurentino	0.0
94	94	PE		English Basic Level 6 (ESLB6)	2021-06-03 16:21:11+00:00	esl	4834757	Romualdo Corina Irma	10.0
95	95	EC	ecudjfree	English Intermediate Level 4  (ESLI4)	2021-06-03 17:29:31+00:00	esl	4834896	José María Yasmina María Belén	0.0
96	96	EC		English Basic Level 1 (ESLB1)	2021-06-03 20:52:49+00:00	esl	4834940	Ovidia Arsenio Maxi	10.0
97	97	MX	mexlafree	English Intermediate Level 5 (ESLI5)	2021-06-03 20:54:22+00:00	esl	4835037	Osvaldo Lucrecia Priscila	0.0
98	98	PE		English For Academic Purposes - Level 5 (EAP5)	2021-06-03 21:21:31+00:00	eap	4835167	Ovidia Arsenio Maxi	10.0
99	99	PE		English Advanced Level 1 (ESLA1)	2021-06-03 21:57:57+00:00	esl	4835209	Marciana Alonso Cirilo	10.0
100	100	PE		Specials	2021-06-03 22:23:06+00:00	none	4835336	Oriana Nelson Brunilda	20.0
101	101	EC		English Basic Level 6 (ESLB6)	2021-06-03 23:54:26+00:00	esl	4835437	Ovidia Arsenio Maxi	10.0
102	102	PE		English Basic Level 7 (ESLB7)	2021-06-03 23:55:14+00:00	esl	4835588	Candela Miguel Tecla	10.0
103	103	PE		English Advanced Level 1 (ESLA1)	2021-06-04 01:13:47+00:00	esl	4835639	Romualdo Corina Irma	10.0
104	104	PE		English Basic Level 7 (ESLB7)	2021-06-04 01:21:02+00:00	esl	4835745	Osvaldo Lucrecia Priscila	10.0
105	105	PE		Speaking Intermediate Level 1 (SPKI1)	2021-06-04 01:39:18+00:00	none	4835811	Romualdo Corina Irma	10.0
106	106	BO		English Basic Level 5 (ESLB5)	2021-06-04 01:50:52+00:00	esl	4835995	José María Yasmina María Belén	10.0
107	107	MX		English Intermediate Level 8 (ESLI8)	2021-06-04 02:08:07+00:00	esl	4836087	Osvaldo Lucrecia Priscila	10.0
108	108	BO		English Basic Level 5 (ESLB5)	2021-06-04 02:09:14+00:00	esl	4836109	José María Yasmina María Belén	10.0
109	109	PE		English For Business - Intermediate Level 1 (EFBI1)	2021-06-04 03:50:22+00:00	efb	4836229	Romualdo Corina Irma	10.0
110	110	PE		English Basic Level 8 (ESLB8)	2021-06-04 03:54:25+00:00	esl	4836371	Ovidia Arsenio Maxi	10.0
111	111	BO		English Basic Level 5 (ESLB5)	2021-06-04 13:00:47+00:00	esl	4836435	Ovidia Arsenio Maxi	10.0
112	112	MX		Specials	2021-06-04 15:31:15+00:00	none	4839104	Ovidia Arsenio Maxi	20.0
113	113	PE		Specials	2021-06-04 15:53:51+00:00	none	4839212	Romualdo Corina Irma	20.0
114	114	MX	mexmmfree	English Basic Level 6 (ESLB6)	2021-06-04 16:03:25+00:00	esl	4839392	Ovidia Arsenio Maxi	0.0
115	115	MX		English Basic Level 4 (ESLB4)	2021-06-04 17:07:13+00:00	esl	4839479	Ovidia Arsenio Maxi	10.0
116	116	MX	mexmmfree	English for Pre-Kids - June (EFP)	2021-06-04 17:35:51+00:00	efk	4839651	Ovidia Arsenio Maxi	0.0
117	117	MX		English Basic Level 4 (ESLB4)	2021-06-04 17:59:32+00:00	esl	4840366	Ovidia Arsenio Maxi	10.0
118	118	MX		English Basic Level 4 (ESLB4)	2021-06-04 18:21:38+00:00	esl	4840467	Osvaldo Lucrecia Priscila	10.0
119	119	CA		Specials	2021-06-04 19:06:32+00:00	none	4840519	Romualdo Corina Irma	20.0
120	120	MX		English Basic Level 4 (ESLB4)	2021-06-04 20:08:32+00:00	esl	4840611	Ovidia Arsenio Maxi	10.0
121	121	HN		English Basic Level 1 (ESLB1)	2021-06-04 20:38:59+00:00	esl	4840752	Consuela Yésica Balbina	10.0
122	122	CL	chiccdifer	English Basic Level 4 (ESLB4)	2021-06-04 21:28:42+00:00	esl	4840899	Ovidia Arsenio Maxi	0.0
123	123	PE		Speaking Intermediate Level 2 (SPKI2)	2021-06-04 22:08:02+00:00	none	4840933	Ovidia Arsenio Maxi	10.0
124	124	PE		Speaking Intermediate Level 2 (SPKI2)	2021-06-04 22:08:02+00:00	none	4840933	Ovidia Arsenio Maxi	10.0
125	125	HN	honbpfree	English Intermediate Level 3 (ESLI3)	2021-06-04 22:12:17+00:00	esl	4841084	Maite Orfeo Roberto	0.0
126	126	EC	ecudjdifer	English Intermediate Level 6 (ESLI6)	2021-06-04 22:19:01+00:00	esl	4841127	Romualdo Corina Irma	0.0
127	127	HN		English Basic Level 4 (ESLB4)	2021-06-04 22:31:17+00:00	esl	4841251	José María Yasmina María Belén	10.0
128	128	BO	bolppdifer	English Intermediate Level 2 (ESLI2)	2021-06-04 22:57:58+00:00	esl	4841338	Ovidia Arsenio Maxi	0.0
129	129	EC		English Basic Level 7 (ESLB7)	2021-06-04 23:04:37+00:00	esl	4841431	Maite Orfeo Roberto	10.0
130	130	PE		Specials	2021-06-05 00:16:41+00:00	none	4841506	Fabián Pepe Laurentino	20.0
131	131	PE		English Basic Level 5 (ESLB5)	2021-06-05 01:46:46+00:00	esl	4841697	Romualdo Corina Irma	10.0
132	132	MX		English Advanced Level 3  (ESLA3)	2021-06-05 04:26:02+00:00	esl	4841990	Ovidia Arsenio Maxi	10.0
133	133	MX		English Advanced Level 3  (ESLA3)	2021-06-05 11:39:48+00:00	esl	4842096	Osvaldo Lucrecia Priscila	10.0
134	134	PE		IELTS Exam Preparation (IELTS)	2021-06-05 18:25:31+00:00	ielts	4842255	Maite Orfeo Roberto	10.0
135	135	HN	honbpfree	English Intermediate Level 4  (ESLI4)	2021-06-05 18:28:45+00:00	esl	4842348	Romualdo Corina Irma	0.0
136	136	CL		Specials	2021-06-05 18:52:37+00:00	none	4842438	José María Yasmina María Belén	20.0
137	137	US		English Intermediate Level 1 (ESLI1)	2021-06-05 19:04:51+00:00	esl	4842543	Romualdo Corina Irma	10.0
138	138	US		English Intermediate Level 2 (ESLI2)	2021-06-05 20:52:25+00:00	esl	4842687	Osvaldo Lucrecia Priscila	10.0
139	139	HN	honbpfree	English Intermediate Level 4  (ESLI4)	2021-06-05 21:51:43+00:00	esl	4842732	Osvaldo Lucrecia Priscila	0.0
140	140	PE		Speaking Intermediate Level 2 (SPKI2)	2021-06-05 21:55:21+00:00	none	4842849	Romualdo Corina Irma	10.0
141	141	PE		Speaking Intermediate Level 2 (SPKI2)	2021-06-05 21:55:21+00:00	none	4842849	Romualdo Corina Irma	10.0
142	142	CA		English Basic Level 0 (ESLB0)	2021-06-05 23:08:04+00:00	esl	4842907	Ovidia Arsenio Maxi	10.0
143	143	CL		English Basic Level 6 (ESLB6)	2021-06-05 23:11:09+00:00	esl	4843025	José María Yasmina María Belén	10.0
144	144	PE		Specials	2021-06-06 00:47:17+00:00	none	4843120	Ovidia Arsenio Maxi	20.0
145	145	CL		English Basic Level 3 (ESLB3)	2021-06-06 00:57:31+00:00	esl	4843296	José María Yasmina María Belén	10.0
146	146	CL		English Basic Level 3 (ESLB3)	2021-06-06 01:10:04+00:00	esl	4843307	José María Yasmina María Belén	10.0
147	147	MX		English Advanced Level 3  (ESLA3)	2021-06-06 01:28:54+00:00	esl	4843435	Fabián Pepe Laurentino	10.0
148	148	PE		English for Kids - June (EFK)	2021-06-06 01:35:37+00:00	efk	4843529	Romualdo Corina Irma	10.0
149	149	PE		English Basic Level 4 (ESLB4)	2021-06-06 01:55:36+00:00	esl	4843622	Ovidia Arsenio Maxi	10.0
150	150	PE		English Basic Level 7 (ESLB7)	2021-06-06 02:00:46+00:00	esl	4843791	Romualdo Corina Irma	10.0
151	151	CL		English Basic Level 7 (ESLB7)	2021-06-06 02:02:52+00:00	esl	4843828	Romualdo Corina Irma	10.0
152	152	ID	indvofree	Conversation - Intermediate level - June (CONV-I)	2021-06-06 11:49:45+00:00	con	4843949	Ovidia Arsenio Maxi	0.0
153	153	MX		English Intermediate Level 6 (ESLI6)	2021-06-06 13:53:46+00:00	esl	4844080	Ovidia Arsenio Maxi	10.0
154	154	PA		English for Kids - June (EFK)	2021-06-06 18:36:13+00:00	efk	4844102	Ovidia Arsenio Maxi	10.0
155	155	PE	permnfree	English Advanced Level 4 (ESLA4)	2021-06-06 18:49:01+00:00	esl	4844232	Candela Miguel Tecla	0.0
156	156	PA		English Advanced Level 2 (ESLA2)	2021-06-06 19:00:57+00:00	esl	4844307	Ovidia Arsenio Maxi	10.0
157	157	EC		English Intermediate Level 4  (ESLI4)	2021-06-06 19:10:32+00:00	esl	4844478	José María Yasmina María Belén	10.0
158	158	HN	honbpfree	English Intermediate Level 4  (ESLI4)	2021-06-06 22:58:14+00:00	esl	4844502	Ovidia Arsenio Maxi	0.0
159	159	PE		Bulk Payment of English Classes (3 to 6 months in advance)<span> - </span>Pay for 3 months (5% discount)	2021-06-06 23:44:28+00:00	bulk	4844620	Romualdo Corina Irma	30.0
160	160	PA		Specials	2021-06-07 00:32:38+00:00	none	4844734	Ovidia Arsenio Maxi	20.0
161	161	PE	perjffree	Conversation - Intermediate level - June (CONV-I)	2021-06-07 01:12:56+00:00	con	4844818	Candela Miguel Tecla	0.0
162	162	CL		Bulk Payment of English Classes (3 to 6 months in advance)<span> - </span>Pay for 6 months (10% discount)	2021-06-07 01:15:13+00:00	bulk	4844958	Luz Teresa Ciro	70.0
163	163	PE		English Advanced Level 4 (ESLA4)	2021-06-07 01:53:25+00:00	esl	4845018	Ovidia Arsenio Maxi	10.0
164	164	PE		English Basic Level 8 (ESLB8)	2021-06-07 02:01:44+00:00	esl	4845117	Ovidia Arsenio Maxi	10.0
165	165	PE		Specials	2021-06-07 02:31:39+00:00	none	4845296	Ovidia Arsenio Maxi	20.0
166	166	PE		Specials	2021-06-07 02:30:47+00:00	none	4845302	Romualdo Corina Irma	20.0
167	167	GT		Specials	2021-06-07 02:46:10+00:00	none	4845437	Maite Orfeo Roberto	20.0
168	168	PE		English Intermediate Level 1 (ESLI1)	2021-06-07 02:48:22+00:00	esl	4845500	Ovidia Arsenio Maxi	10.0
169	169	CL		IELTS Exam Preparation (IELTS)	2021-06-07 04:32:21+00:00	ielts	4845689	Romualdo Corina Irma	10.0
170	170	CL		Bulk Payment of English Classes (3 to 6 months in advance)<span> - </span>Pay for 6 months (10% discount)	2021-06-07 04:46:31+00:00	bulk	4845785	Romualdo Corina Irma	70.0
171	171	CA		Specials	2021-06-07 04:56:39+00:00	none	4845867	Romualdo Corina Irma	20.0
172	172	MX		English Advanced Level 1 (ESLA1)	2021-06-07 06:28:22+00:00	esl	4845907	Osvaldo Lucrecia Priscila	10.0
173	173	MX	mexmmfree	English Basic Level 1 (ESLB1)	2021-06-07 09:21:24+00:00	esl	4846084	Ovidia Arsenio Maxi	0.0
174	174	BO		English Intermediate Level 2 (ESLI2)	2021-06-07 13:57:06+00:00	esl	4846138	Romualdo Corina Irma	10.0
175	175	EC		English Basic Level 5 (ESLB5)	2021-06-07 14:57:55+00:00	esl	4846260	Romualdo Corina Irma	10.0
176	176	PE		Specials	2021-06-07 15:29:40+00:00	none	4846349	Ovidia Arsenio Maxi	20.0
177	177	PE		Specials	2021-06-07 15:29:40+00:00	none	4846349	Ovidia Arsenio Maxi	20.0
178	178	BO		English Advanced Level 4 (ESLA4)	2021-06-07 16:51:05+00:00	esl	4846430	Ovidia Arsenio Maxi	10.0
179	179	PE		English for Kids - June (EFK)	2021-06-07 17:29:56+00:00	efk	4846612	Fabián Pepe Laurentino	10.0
180	180	EC		English Basic Level 3 (ESLB3)	2021-06-07 17:33:35+00:00	esl	4846797	Ovidia Arsenio Maxi	10.0
181	181	PE		English Basic Level 5 (ESLB5)	2021-06-07 17:46:32+00:00	esl	4846813	Ovidia Arsenio Maxi	10.0
182	182	PA		English Basic Level 6 (ESLB6)	2021-06-07 18:15:14+00:00	esl	4846947	Ovidia Arsenio Maxi	10.0
183	183	EC		English Basic Level 4 (ESLB4)	2021-06-07 18:15:25+00:00	esl	4847063	Ovidia Arsenio Maxi	10.0
184	184	PE		IELTS Exam Preparation (IELTS)	2021-06-07 18:15:39+00:00	ielts	4847117	Maite Orfeo Roberto	10.0
185	185	EC	ecudjfree	English Basic Level 7 (ESLB7)	2021-06-07 18:16:26+00:00	esl	4847258	Fabián Pepe Laurentino	0.0
186	186	MX	mexmmfree	English Basic Level 3 (ESLB3)	2021-06-07 18:18:43+00:00	esl	4847393	Fabián Pepe Laurentino	0.0
187	187	PE		Specials	2021-06-07 18:29:27+00:00	none	4847474	Romualdo Corina Irma	20.0
188	188	MX	mexmmfree	English Basic Level 3 (ESLB3)	2021-06-07 18:35:20+00:00	esl	4847558	Osvaldo Lucrecia Priscila	0.0
189	189	EC		English for Pre-Kids - June (EFP)	2021-06-07 18:42:51+00:00	efk	4847693	Ovidia Arsenio Maxi	10.0
190	190	MX		English Basic Level 1 (ESLB1)	2021-06-07 18:50:06+00:00	esl	4847718	Ovidia Arsenio Maxi	10.0
191	191	MX		English Basic Level 1 (ESLB1)	2021-06-07 19:07:34+00:00	esl	4847838	Ovidia Arsenio Maxi	10.0
192	192	EC	ecudjfree	English Basic Level 2 (ESLB2)	2021-06-07 19:28:49+00:00	esl	4847947	José María Yasmina María Belén	0.0
193	193	CL		Speaking Intermediate Level 1 (SPKI1)	2021-06-07 19:40:55+00:00	none	4848051	Oriana Nelson Brunilda	10.0
194	194	EC		English Intermediate Level 6 (ESLI6)	2021-06-07 19:43:03+00:00	esl	4848109	Romualdo Corina Irma	10.0
195	195	EC		Specials	2021-06-07 20:02:14+00:00	none	4848204	Romualdo Corina Irma	20.0
196	196	MX	mexmmfree	English Intermediate Level 7 (ESLI7)	2021-06-07 20:08:11+00:00	esl	4848378	Osvaldo Lucrecia Priscila	0.0
197	197	EC		IELTS Exam Preparation (IELTS)	2021-06-07 20:26:37+00:00	ielts	4848468	Candela Miguel Tecla	10.0
198	198	PE	permndifer	English Basic Level 5 (ESLB5)	2021-06-07 20:32:37+00:00	esl	4848592	Romualdo Corina Irma	0.0
199	199	PE	permndifer	English Basic Level 4 (ESLB4)	2021-06-07 20:37:00+00:00	esl	4848674	Ovidia Arsenio Maxi	0.0
200	200	CL		Speaking Intermediate Level 2 (SPKI2)	2021-06-07 20:46:46+00:00	none	4848703	José María Yasmina María Belén	10.0
201	201	PE		English for Kids - June (EFK)	2021-06-08 18:25:11+00:00	efk	4848802	Maite Orfeo Roberto	10.0
202	202	MX		English Basic Level 0 (ESLB0)	2021-06-07 20:54:07+00:00	esl	4848948	Osvaldo Lucrecia Priscila	10.0
203	203	BO	bolppdifer	English Intermediate Level 2 (ESLI2)	2021-06-07 20:56:01+00:00	esl	4849023	Romualdo Corina Irma	0.0
204	204	BO		English Advanced Level 2 (ESLA2)	2021-06-07 21:26:50+00:00	esl	4849140	Ovidia Arsenio Maxi	10.0
205	205	PE	perjffree	English Intermediate Level 6 (ESLI6)	2021-06-07 21:37:51+00:00	esl	4849234	Osvaldo Lucrecia Priscila	0.0
206	206	PE	perjffree	English Intermediate Level 6 (ESLI6)	2021-06-07 21:41:36+00:00	esl	4849390	Ovidia Arsenio Maxi	0.0
207	207	PE		Specials	2021-06-07 21:54:15+00:00	none	4849409	Romualdo Corina Irma	20.0
208	208	PA		English Intermediate Level 6 (ESLI6)	2021-06-07 21:59:25+00:00	esl	4849590	Romualdo Corina Irma	10.0
209	209	PE		Specials	2021-06-07 22:01:07+00:00	none	4849630	Romualdo Corina Irma	20.0
